NFECHA,IDX,TheYear,TheDate,DEPARTAMENTO,CANT
01 Ene,101,2017,2017-01-01,PIURA,7
01 Ene,101,2017,2017-01-01,CUSCO,13
01 Ene,101,2017,2017-01-01,ANCASH,11
01 Ene,101,2017,2017-01-01,CALLAO,13
01 Ene,101,2017,2017-01-01,APURIMAC,4
01 Ene,101,2017,2017-01-01,JUNIN,7
01 Ene,101,2017,2017-01-01,HUANUCO,8
01 Ene,101,2017,2017-01-01,ICA,8
01 Ene,101,2017,2017-01-01,LIMA,76
01 Ene,101,2017,2017-01-01,UCAYALI,7
01 Ene,101,2017,2017-01-01,HUANCAVELICA,2
01 Ene,101,2017,2017-01-01,MOQUEGUA,2
01 Ene,101,2017,2017-01-01,LAMBAYEQUE,20
01 Ene,101,2017,2017-01-01,AREQUIPA,20
01 Ene,101,2017,2017-01-01,AYACUCHO,4
01 Ene,101,2017,2017-01-01,MADRE DE DIOS,1
01 Ene,101,2017,2017-01-01,SAN MARTIN,2
01 Ene,101,2017,2017-01-01,CAJAMARCA,9
01 Ene,101,2017,2017-01-01,PASCO,1
01 Ene,101,2017,2017-01-01,AMAZONAS,2
01 Ene,101,2017,2017-01-01,PUNO,14
01 Ene,101,2017,2017-01-01,LA LIBERTAD,23
01 Ene,101,2017,2017-01-01,TUMBES,3
01 Ene,101,2017,2017-01-01,TACNA,4
01 Ene,101,2017,2017-01-01,LORETO,9
01 Ene,101,2018,2018-01-01,CALLAO,14
01 Ene,101,2018,2018-01-01,SAN MARTIN,11
01 Ene,101,2018,2018-01-01,APURIMAC,3
01 Ene,101,2018,2018-01-01,AREQUIPA,9
01 Ene,101,2018,2018-01-01,AYACUCHO,14
01 Ene,101,2018,2018-01-01,AMAZONAS,1
01 Ene,101,2018,2018-01-01,LA LIBERTAD,15
01 Ene,101,2018,2018-01-01,HUANUCO,10
01 Ene,101,2018,2018-01-01,ICA,11
01 Ene,101,2018,2018-01-01,JUNIN,15
01 Ene,101,2018,2018-01-01,ANCASH,16
01 Ene,101,2018,2018-01-01,CUSCO,20
01 Ene,101,2018,2018-01-01,PUNO,18
01 Ene,101,2018,2018-01-01,TACNA,2
01 Ene,101,2018,2018-01-01,TUMBES,3
01 Ene,101,2018,2018-01-01,LAMBAYEQUE,16
01 Ene,101,2018,2018-01-01,LORETO,7
01 Ene,101,2018,2018-01-01,PASCO,2
01 Ene,101,2018,2018-01-01,HUANCAVELICA,11
01 Ene,101,2018,2018-01-01,CAJAMARCA,14
01 Ene,101,2018,2018-01-01,MOQUEGUA,5
01 Ene,101,2018,2018-01-01,UCAYALI,8
01 Ene,101,2018,2018-01-01,LIMA,80
01 Ene,101,2018,2018-01-01,PIURA,15
01 Ene,101,2018,2018-01-01,MADRE DE DIOS,2
01 Ene,101,2019,2019-01-01,LA LIBERTAD,26
01 Ene,101,2019,2019-01-01,AMAZONAS,4
01 Ene,101,2019,2019-01-01,LORETO,6
01 Ene,101,2019,2019-01-01,PASCO,4
01 Ene,101,2019,2019-01-01,TUMBES,6
01 Ene,101,2019,2019-01-01,CAJAMARCA,9
01 Ene,101,2019,2019-01-01,TACNA,3
01 Ene,101,2019,2019-01-01,SAN MARTIN,7
01 Ene,101,2019,2019-01-01,PUNO,16
01 Ene,101,2019,2019-01-01,UCAYALI,4
01 Ene,101,2019,2019-01-01,ANCASH,19
01 Ene,101,2019,2019-01-01,ICA,16
01 Ene,101,2019,2019-01-01,PIURA,19
01 Ene,101,2019,2019-01-01,CALLAO,16
01 Ene,101,2019,2019-01-01,LAMBAYEQUE,1
01 Ene,101,2019,2019-01-01,JUNIN,20
01 Ene,101,2019,2019-01-01,LIMA,89
01 Ene,101,2019,2019-01-01,APURIMAC,6
01 Ene,101,2019,2019-01-01,HUANUCO,16
01 Ene,101,2019,2019-01-01,AYACUCHO,10
01 Ene,101,2019,2019-01-01,HUANCAVELICA,3
01 Ene,101,2019,2019-01-01,AREQUIPA,22
01 Ene,101,2019,2019-01-01,MOQUEGUA,5
01 Ene,101,2019,2019-01-01,CUSCO,18
01 Ene,101,2020,2020-01-01,TACNA,4
01 Ene,101,2020,2020-01-01,TUMBES,4
01 Ene,101,2020,2020-01-01,PUNO,18
01 Ene,101,2020,2020-01-01,CAJAMARCA,15
01 Ene,101,2020,2020-01-01,PIURA,9
01 Ene,101,2020,2020-01-01,LORETO,6
01 Ene,101,2020,2020-01-01,LAMBAYEQUE,3
01 Ene,101,2020,2020-01-01,CALLAO,13
01 Ene,101,2020,2020-01-01,LIMA,123
01 Ene,101,2020,2020-01-01,PASCO,2
01 Ene,101,2020,2020-01-01,HUANCAVELICA,9
01 Ene,101,2020,2020-01-01,MOQUEGUA,1
01 Ene,101,2020,2020-01-01,EXTRANJERO,2
01 Ene,101,2020,2020-01-01,MADRE DE DIOS,2
01 Ene,101,2020,2020-01-01,AREQUIPA,17
01 Ene,101,2020,2020-01-01,AYACUCHO,7
01 Ene,101,2020,2020-01-01,AMAZONAS,5
01 Ene,101,2020,2020-01-01,CUSCO,24
01 Ene,101,2020,2020-01-01,UCAYALI,9
01 Ene,101,2020,2020-01-01,APURIMAC,3
01 Ene,101,2020,2020-01-01,HUANUCO,11
01 Ene,101,2020,2020-01-01,ICA,11
01 Ene,101,2020,2020-01-01,JUNIN,21
01 Ene,101,2020,2020-01-01,SAN MARTIN,14
01 Ene,101,2020,2020-01-01,ANCASH,22
01 Ene,101,2020,2020-01-01,LA LIBERTAD,23
01 Ene,101,2021,2021-01-01,LA LIBERTAD,31
01 Ene,101,2021,2021-01-01,TACNA,8
01 Ene,101,2021,2021-01-01,LIMA,185
01 Ene,101,2021,2021-01-01,AMAZONAS,3
01 Ene,101,2021,2021-01-01,MADRE DE DIOS,4
01 Ene,101,2021,2021-01-01,CAJAMARCA,14
01 Ene,101,2021,2021-01-01,TUMBES,2
01 Ene,101,2021,2021-01-01,JUNIN,26
01 Ene,101,2021,2021-01-01,ICA,13
01 Ene,101,2021,2021-01-01,SAN MARTIN,11
01 Ene,101,2021,2021-01-01,PUNO,19
01 Ene,101,2021,2021-01-01,HUANUCO,9
01 Ene,101,2021,2021-01-01,LORETO,13
01 Ene,101,2021,2021-01-01,PASCO,5
01 Ene,101,2021,2021-01-01,UCAYALI,5
01 Ene,101,2021,2021-01-01,PIURA,39
01 Ene,101,2021,2021-01-01,APURIMAC,9
01 Ene,101,2021,2021-01-01,CUSCO,18
01 Ene,101,2021,2021-01-01,AYACUCHO,7
01 Ene,101,2021,2021-01-01,CALLAO,12
01 Ene,101,2021,2021-01-01,LAMBAYEQUE,10
01 Ene,101,2021,2021-01-01,ANCASH,19
01 Ene,101,2021,2021-01-01,MOQUEGUA,8
01 Ene,101,2021,2021-01-01,HUANCAVELICA,8
01 Ene,101,2021,2021-01-01,AREQUIPA,35
02 Ene,102,2017,2017-01-02,SAN MARTIN,4
02 Ene,102,2017,2017-01-02,JUNIN,8
02 Ene,102,2017,2017-01-02,HUANUCO,7
02 Ene,102,2017,2017-01-02,LIMA,59
02 Ene,102,2017,2017-01-02,PIURA,4
02 Ene,102,2017,2017-01-02,CALLAO,10
02 Ene,102,2017,2017-01-02,PUNO,12
02 Ene,102,2017,2017-01-02,TUMBES,2
02 Ene,102,2017,2017-01-02,ANCASH,13
02 Ene,102,2017,2017-01-02,CAJAMARCA,3
02 Ene,102,2017,2017-01-02,MADRE DE DIOS,3
02 Ene,102,2017,2017-01-02,ICA,10
02 Ene,102,2017,2017-01-02,PASCO,2
02 Ene,102,2017,2017-01-02,TACNA,4
02 Ene,102,2017,2017-01-02,LORETO,4
02 Ene,102,2017,2017-01-02,AMAZONAS,1
02 Ene,102,2017,2017-01-02,LA LIBERTAD,19
02 Ene,102,2017,2017-01-02,UCAYALI,6
02 Ene,102,2017,2017-01-02,AYACUCHO,4
02 Ene,102,2017,2017-01-02,CUSCO,14
02 Ene,102,2017,2017-01-02,AREQUIPA,13
02 Ene,102,2017,2017-01-02,LAMBAYEQUE,25
02 Ene,102,2017,2017-01-02,MOQUEGUA,3
02 Ene,102,2017,2017-01-02,APURIMAC,6
02 Ene,102,2017,2017-01-02,HUANCAVELICA,2
02 Ene,102,2018,2018-01-02,LIMA,68
02 Ene,102,2018,2018-01-02,APURIMAC,2
02 Ene,102,2018,2018-01-02,AMAZONAS,2
