NFECHA,IDX,TheYear,TheDate,CANT,DEPARTAMENTO
01 Ene,101,2017,2017-01-01,2,AMAZONAS
01 Ene,101,2017,2017-01-01,11,ANCASH
01 Ene,101,2017,2017-01-01,4,APURIMAC
01 Ene,101,2017,2017-01-01,20,AREQUIPA
01 Ene,101,2017,2017-01-01,4,AYACUCHO
01 Ene,101,2017,2017-01-01,9,CAJAMARCA
01 Ene,101,2017,2017-01-01,13,CALLAO
01 Ene,101,2017,2017-01-01,13,CUSCO
01 Ene,101,2017,2017-01-01,0,EXTRANJERO
01 Ene,101,2017,2017-01-01,2,HUANCAVELICA
01 Ene,101,2017,2017-01-01,8,HUANUCO
01 Ene,101,2017,2017-01-01,8,ICA
01 Ene,101,2017,2017-01-01,7,JUNIN
01 Ene,101,2017,2017-01-01,23,LA LIBERTAD
01 Ene,101,2017,2017-01-01,20,LAMBAYEQUE
01 Ene,101,2017,2017-01-01,76,LIMA
01 Ene,101,2017,2017-01-01,9,LORETO
01 Ene,101,2017,2017-01-01,1,MADRE DE DIOS
01 Ene,101,2017,2017-01-01,2,MOQUEGUA
01 Ene,101,2017,2017-01-01,1,PASCO
01 Ene,101,2017,2017-01-01,7,PIURA
01 Ene,101,2017,2017-01-01,14,PUNO
01 Ene,101,2017,2017-01-01,2,SAN MARTIN
01 Ene,101,2017,2017-01-01,0,SIN REGISTRO
01 Ene,101,2017,2017-01-01,4,TACNA
01 Ene,101,2017,2017-01-01,3,TUMBES
01 Ene,101,2017,2017-01-01,7,UCAYALI
02 Ene,102,2017,2017-01-02,1,AMAZONAS
02 Ene,102,2017,2017-01-02,13,ANCASH
02 Ene,102,2017,2017-01-02,6,APURIMAC
02 Ene,102,2017,2017-01-02,13,AREQUIPA
02 Ene,102,2017,2017-01-02,4,AYACUCHO
02 Ene,102,2017,2017-01-02,3,CAJAMARCA
02 Ene,102,2017,2017-01-02,10,CALLAO
02 Ene,102,2017,2017-01-02,14,CUSCO
02 Ene,102,2017,2017-01-02,0,EXTRANJERO
02 Ene,102,2017,2017-01-02,2,HUANCAVELICA
02 Ene,102,2017,2017-01-02,7,HUANUCO
02 Ene,102,2017,2017-01-02,10,ICA
02 Ene,102,2017,2017-01-02,8,JUNIN
02 Ene,102,2017,2017-01-02,19,LA LIBERTAD
02 Ene,102,2017,2017-01-02,25,LAMBAYEQUE
02 Ene,102,2017,2017-01-02,59,LIMA
02 Ene,102,2017,2017-01-02,4,LORETO
02 Ene,102,2017,2017-01-02,3,MADRE DE DIOS
02 Ene,102,2017,2017-01-02,3,MOQUEGUA
02 Ene,102,2017,2017-01-02,2,PASCO
02 Ene,102,2017,2017-01-02,4,PIURA
02 Ene,102,2017,2017-01-02,12,PUNO
02 Ene,102,2017,2017-01-02,4,SAN MARTIN
02 Ene,102,2017,2017-01-02,0,SIN REGISTRO
02 Ene,102,2017,2017-01-02,4,TACNA
02 Ene,102,2017,2017-01-02,2,TUMBES
02 Ene,102,2017,2017-01-02,6,UCAYALI
03 Ene,103,2017,2017-01-03,3,AMAZONAS
03 Ene,103,2017,2017-01-03,9,ANCASH
03 Ene,103,2017,2017-01-03,3,APURIMAC
03 Ene,103,2017,2017-01-03,18,AREQUIPA
03 Ene,103,2017,2017-01-03,2,AYACUCHO
03 Ene,103,2017,2017-01-03,2,CAJAMARCA
03 Ene,103,2017,2017-01-03,6,CALLAO
03 Ene,103,2017,2017-01-03,7,CUSCO
03 Ene,103,2017,2017-01-03,1,EXTRANJERO
03 Ene,103,2017,2017-01-03,4,HUANCAVELICA
03 Ene,103,2017,2017-01-03,6,HUANUCO
03 Ene,103,2017,2017-01-03,7,ICA
03 Ene,103,2017,2017-01-03,9,JUNIN
03 Ene,103,2017,2017-01-03,24,LA LIBERTAD
03 Ene,103,2017,2017-01-03,21,LAMBAYEQUE
03 Ene,103,2017,2017-01-03,59,LIMA
03 Ene,103,2017,2017-01-03,5,LORETO
03 Ene,103,2017,2017-01-03,2,MADRE DE DIOS
03 Ene,103,2017,2017-01-03,2,MOQUEGUA
03 Ene,103,2017,2017-01-03,1,PASCO
03 Ene,103,2017,2017-01-03,5,PIURA
03 Ene,103,2017,2017-01-03,10,PUNO
03 Ene,103,2017,2017-01-03,2,SAN MARTIN
03 Ene,103,2017,2017-01-03,1,SIN REGISTRO
03 Ene,103,2017,2017-01-03,5,TACNA
03 Ene,103,2017,2017-01-03,3,TUMBES
03 Ene,103,2017,2017-01-03,3,UCAYALI
04 Ene,104,2017,2017-01-04,2,AMAZONAS
04 Ene,104,2017,2017-01-04,7,ANCASH
04 Ene,104,2017,2017-01-04,7,APURIMAC
